ID,prefecture,latitude,longitude,power
518,01,42.912402,141.597288,4.8422
519,01,42.858543,141.597437,1.3104
523,01,43.032601,144.340038,0.91
524,01,43.035908,144.348988,2.714
525,01,43.022855,144.298940,21.7168
527,01,43.007101,144.304665,0.9038
528,01,43.006841,144.317625,1.5301
529,01,43.007624,144.218979,2.0758
532,01,42.962303,144.426651,1.4124
533,01,42.965831,144.444976,1.224
534,01,42.991115,144.400349,0.8133
536,01,42.993613,144.408047,1.215
537,01,42.908539,143.963018,24.696
538,01,42.900207,143.937580,0.702
540,01,42.956017,144.435392,2.1912
541,01,43.030767,144.390882,0.98784
542,01,43.033740,144.390505,2.002
548,01,43.023614,144.449879,1.2189
549,01,43.025263,144.450423,1.2189
550,01,43.046358,144.441822,17.8762
551,01,43.020028,144.467600,1.9656
559,01,41.998905,140.624645,1.8033
560,01,41.898142,140.755399,2.438
561,01,41.894449,140.756388,2.438
562,01,43.169983,141.701007,8.9645
563,01,43.142580,141.753836,2.106
564,01,43.238329,141.792978,0.9374
566,01,42.084394,140.590969,1.3252
567,01,42.098574,140.593109,1.1016
570,01,43.270696,143.298060,3.8341
582,01,43.116554,143.216451,0.988
589,01,42.942085,143.299812,1.024
590,01,42.964008,143.191700,1.9269
591,01,42.988475,143.177230,1.002075
592,01,42.724949,143.166667,0.7948
593,01,42.681632,143.140862,2.408
595,01,42.644154,143.148950,1.5538
596,01,42.912243,143.094553,1.056
597,01,42.918897,143.099994,1.0678
598,01,42.943965,143.114900,1.327
599,01,42.944427,143.117347,0.8424
601,01,42.926220,143.040830,2.4718
602,01,42.901663,143.036358,1.166
609,01,42.193281,142.710675,1.00142
613,01,42.478181,140.834044,10.3
614,01,42.480434,140.830017,1
616,01,42.533995,140.778793,2.2593
617,01,42.532848,140.784133,1.978
623,01,43.455715,142.163408,3.2669
626,01,43.493638,142.191815,2.2464
629,01,43.725635,142.391384,0.83475
630,01,43.820503,142.375594,2.2276
631,01,43.845123,142.446397,0.8822
632,01,43.850847,142.267947,2.15904
635,01,43.240151,144.298017,3.4285
636,01,43.165511,144.285450,0.8996
640,28,34.837928,134.568338,2.0252
641,28,34.837203,134.616999,1.5039
642,28,34.697627,134.964149,2.1
644,28,34.709233,134.962267,1.7069
645,28,34.722531,134.907489,16.9986
646,28,35.551414,134.801923,0.72
647,28,35.495331,134.793578,1.12308
648,28,35.495726,134.702790,0.99981
649,28,35.465578,134.757519,2.1609
650,12,35.653848,140.275669,1.258
654,28,35.550831,134.877994,2.6019
659,28,34.901893,134.590631,0.83328
660,28,34.903183,134.569833,0.9622
661,28,34.946344,134.583243,0.75
662,28,34.908481,134.595218,0.835
663,28,34.893271,134.610630,4.0149
664,28,34.895886,134.607093,1.2376
665,28,34.893431,134.599130,0.918
666,28,34.893655,134.600226,0.9367
667,28,34.910936,134.598602,1.207
668,28,34.805111,134.575941,1.7039
670,28,34.771510,134.603202,1.1792
671,28,34.892395,134.748324,1.2158
672,28,34.881829,134.786977,1.7839
673,28,34.879022,134.774734,1.7112
676,28,34.772371,134.747284,19.7836
677,28,34.774482,134.747945,4.8377
678,28,34.775911,134.763398,0.7322
679,28,34.771666,134.762574,12.485
680,28,34.885290,134.628256,1.2246
681,28,34.907118,134.760508,1.7136
682,28,34.929442,134.765267,1.2565
683,28,34.932641,134.766995,1.078
684,28,34.924335,134.767292,1.5147
686,28,34.779258,134.694089,14.6862
689,28,34.850278,134.794825,1.3005
690,28,34.850617,134.793549,1.75032
691,28,34.854620,134.746101,12.6
692,28,34.817552,134.730075,1.4686
693,28,34.935077,134.739445,0.75
695,28,34.783212,134.620239,2.6688
696,28,34.876043,134.674070,1.254
697,28,34.965218,134.590487,3.9916
698,28,34.980736,134.599437,1.274
701,28,35.632490,134.613955,2.2272
704,28,34.690865,135.398456,1.1709
705,28,34.679710,135.380057,9.866
706,28,34.713218,135.402078,1.3125
709,28,34.302365,134.809370,1.115
710,28,34.304198,134.826148,1.7774
711,28,34.262432,134.759422,1.015
712,28,34.214126,134.733214,0.8488
713,28,34.195283,134.733053,4.7044
715,28,34.225532,134.705286,1.0773
718,28,35.393444,134.905008,1.0656
720,28,35.252121,134.802644,1.1385
722,28,34.582448,134.968165,1.9756
723,28,34.577659,134.970863,9.8654
725,28,34.546660,134.996844,2.3465
726,28,34.546579,134.995278,1.108
727,28,34.474296,134.924133,39.3092
728,28,34.423889,134.865667,1.1429
729,28,34.443608,134.848658,2.4667
730,28,34.441335,134.915572,1
731,28,34.546030,134.937273,1.323
732,28,34.551116,134.946121,0.7829
733,28,34.546079,134.939235,13.8024
735,28,34.549856,134.998453,1.8616
736,28,34.424058,134.903508,2.5416
737,28,34.422752,134.902084,4.858
738,28,34.449918,134.926529,8.8271
739,28,34.476122,134.941274,7.505
740,28,34.471402,134.941951,1
741,28,34.602866,135.001794,1.19952
742,28,34.418444,134.899172,3.2188
744,28,35.147079,135.019713,1
745,28,35.148158,135.052886,1.5
746,28,35.206839,135.041889,0.945
747,28,35.247187,135.015009,2.093
748,28,35.157572,135.142338,1.2703
749,28,35.167218,135.067032,1
750,28,35.178287,135.135803,1.1781
754,28,35.104350,135.006062,17.9304
755,28,35.105838,135.002619,0.8053
756,28,35.108567,135.009027,1.9098
757,28,35.085410,134.983064,2.922
761,28,35.023280,134.912210,1.224
762,28,35.073318,134.918795,1.6848
763,28,35.059172,134.951154,14.4948
764,28,35.072070,134.900162,0.8211
765,28,35.109088,134.881653,2.1848
766,28,35.140760,134.923170,1.8783
770,28,34.798248,134.436673,1.1294
771,28,34.814386,134.476435,0.9849
772,28,35.001892,135.331777,1.144
773,28,34.996949,135.331838,0.868
774,28,34.887397,135.365215,0.8355
776,28,34.808500,135.405770,1.0103
778,28,34.743125,134.359896,1.9183
779,28,34.816052,134.368821,1.4352
780,28,34.728866,134.380697,1.2
781,28,34.753436,134.399743,0.7862
783,28,34.844035,134.339015,4.57284
784,28,34.779628,134.352712,0.99
785,28,34.833805,134.343482,1.9892
786,28,34.754686,134.372401,2.58
787,28,34.745468,134.373266,12.0855
788,28,34.750964,134.370677,4.26
792,28,34.859701,134.371319,3.574
793,28,34.873992,134.332510,0.9984
794,28,34.867659,134.388113,1.0685
795,28,34.867567,134.381169,1.198
798,28,34.984594,134.949699,1.2592
799,28,34.998802,135.024531,1.8
800,28,34.982074,135.006904,1.5978
801,28,34.983127,135.005944,0.816
802,28,34.960935,134.979456,1.013
803,28,35.008276,134.990626,0.728
804,28,34.696229,135.359535,0.8253
806,28,34.699211,135.359506,1.83498
807,28,34.833606,135.301793,1.2438
809,28,34.838056,135.300566,1.9851
810,28,34.840373,135.302297,2.56
811,28,34.838154,135.305759,13.0083
812,28,34.838657,135.312111,7.03
813,28,34.934776,134.769470,2.156
814,28,34.923799,134.787152,1.175
815,28,34.931422,134.770148,1.4051
816,28,34.948366,134.772539,0.8085
817,28,34.950557,134.772634,1.9915
818,28,34.987748,134.743103,1.5897
819,28,34.945467,134.796345,2.4952
820,28,34.946997,134.737123,1.443288
821,28,34.951516,134.734619,0.896
822,28,34.968402,134.761846,0.8755
823,28,34.972539,134.762399,1.3001
824,28,34.969546,134.761728,2.2856
825,28,35.052817,134.769857,0.9386
827,28,35.095792,134.771315,1.2818
828,28,35.014205,134.758220,1.134
830,28,34.860253,135.240698,1.5111
831,28,34.820631,135.085538,4.8708
832,28,34.832246,135.146485,1.208
833,28,34.873358,135.179834,1.0192
834,28,34.874175,135.181750,1.134
835,28,34.739990,135.164888,0.714
836,28,34.749295,135.176506,1.68
837,28,34.709494,135.095068,2.0909
839,28,34.694195,135.229648,1.17
841,28,34.701146,135.228074,1.3613
842,28,34.714325,135.301840,1.99892
843,28,34.709517,135.297136,0.9205
846,28,34.650210,135.163463,1.0316
847,28,34.640021,135.234577,1.60664
850,28,34.666376,135.229720,0.8386
851,28,34.664452,135.204475,1.601908
854,28,34.725251,134.984742,2.1828
856,28,34.709987,135.029689,1.3176
857,28,34.723173,135.068149,0.7846
858,28,34.753035,135.002965,2.4143
860,28,34.732281,135.086345,0.784
861,28,34.735928,135.094353,1.99066
862,28,34.747457,135.079490,0.725
863,28,34.752622,135.081559,11.068
864,28,34.684879,135.017991,4.1352
865,28,34.681982,135.025048,2.0375
868,28,34.629282,135.070664,1.9559
869,28,34.836209,134.894531,2.2605
870,28,34.868920,134.990853,1.2317
871,28,34.911232,134.911566,19.1048
872,28,34.866175,134.976550,0.8049
873,28,34.860109,134.945770,0.8486
874,28,34.883567,134.910542,1.1899
875,28,34.859440,134.966878,2.4648
876,28,34.857916,134.962892,1.242
877,28,34.825554,134.986598,1.202
878,28,34.869520,134.939349,1.26
879,28,34.835975,134.947297,1
880,28,34.837372,135.001740,1.2978
881,28,34.831223,134.997403,0.9936
882,28,34.820366,134.961351,1.0312
883,28,34.888074,134.915729,1.008
884,28,34.281169,134.945422,2.6645
885,28,34.300746,134.918185,8.9443
886,28,34.360572,134.868595,1.7055
887,28,34.324587,134.882177,0.9947
889,28,34.356818,134.755478,1.372
890,28,34.382196,134.784917,1.2204
891,28,34.421828,134.836231,1.1844
892,28,34.385815,134.893065,2.0109
893,28,34.388188,134.888101,1.3144
895,28,35.112518,135.331619,1.4692
896,28,35.003700,135.124760,1.6
897,28,35.019571,135.284323,1.026
898,28,35.109809,135.262532,1.317
899,28,35.125506,135.386048,7.2426
903,28,34.957454,134.554410,0.864
904,28,35.115816,134.567922,1.7723
905,28,35.119965,134.583592,1.534
911,28,34.789255,134.935993,1.0483
912,28,34.774575,134.991302,1.7976
913,28,34.767138,134.963926,1
914,28,34.769586,134.962966,1
915,28,34.805328,135.071893,1
916,28,34.773798,135.052219,2.59
917,28,34.770674,135.012486,1.3277
918,28,34.776751,135.013169,1.2096
919,28,34.775175,135.017382,1.2614
920,28,34.771625,135.011420,1.7512
921,28,34.866517,135.066668,1.0296
922,28,34.819426,135.000026,2.38
923,28,34.887190,135.160534,0.9792
924,28,34.870312,135.090203,1.0974
925,28,34.941738,135.145372,1.0138
927,28,34.888415,135.164954,1.593
928,28,34.845116,135.116890,0.808
930,28,34.892591,135.175852,7.33824
931,28,34.890102,135.173381,8.3791
932,28,34.894041,135.170392,5.049
933,28,34.953177,135.229428,1.995
935,28,34.907476,135.268338,5.2341
936,28,34.887731,135.245165,1.1429
937,28,34.915919,135.160538,6.531
938,28,34.977550,134.440124,1.9848
939,28,35.083149,134.323869,1.2633
941,28,35.017479,134.394315,10
942,28,35.013266,134.395441,1.9872
943,28,35.003609,134.383593,11.16
947,28,34.763409,134.769772,5.0627
948,28,34.763384,134.775370,1.1
950,28,34.767820,134.765554,1
951,28,34.763596,134.765682,3.143
952,28,34.759761,134.782115,1.9504
953,28,34.800350,134.788269,1.1297
954,28,34.795626,134.801096,2.2793
955,28,34.958782,135.089217,8.66112
956,28,34.945831,135.077848,0.89856
957,28,34.889929,135.062884,1.252
958,28,34.894931,135.066225,2.1873
959,28,34.896386,135.074485,2.1204
960,28,34.908589,134.997458,2.5266
961,28,34.908601,135.053910,0.9972
962,28,34.883393,134.934068,2.9616
964,28,34.993060,135.061544,1.0526
965,28,34.910325,134.990080,1.2387
966,28,34.912823,134.906173,1.9994
967,28,34.928945,134.912093,1.2001
968,28,34.931867,134.908023,1.6707
969,28,34.940229,134.948413,1.2045
970,28,34.944534,135.068392,1.4364
971,28,34.895325,134.969319,1.2775
972,28,34.895583,134.967967,1.0064
973,28,34.892112,134.962865,2.009
974,28,34.893882,134.967243,1.35564
976,05,39.522748,140.085787,39.0162
977,28,34.884206,134.863532,1.5547
978,28,34.922340,134.840628,0.8748
979,28,34.937813,134.838796,1.2036
980,28,34.937131,134.839677,2.4072
981,28,34.904376,134.848614,1
982,28,34.908746,134.905029,0.951
983,28,34.940575,134.874352,4.29
984,28,34.857938,134.871995,2.34624
986,28,34.883904,134.874865,0.8086
987,28,34.906798,134.846487,0.8649
988,28,34.903275,134.843937,0.8896
989,28,34.905430,134.846991,1.498
990,28,34.899725,134.836179,0.99
991,28,34.934257,134.895759,1.0521
992,28,34.933555,134.904174,1.4811
993,28,34.935605,134.880338,0.8
994,28,34.947162,134.929680,1.0533
995,28,34.925157,134.856469,2.3133
996,28,34.923813,134.859633,1.2039
997,28,34.883542,134.840163,0.8568
998,28,34.872590,134.896450,21.2533
999,28,34.911059,134.853330,1.176
1001,28,34.778468,134.826955,1.8026
1003,28,34.818111,134.875275,1.7625
1005,28,34.815027,134.860945,1.204
1007,28,34.736164,134.819267,1.116
1008,28,34.775837,134.901386,1.9278
1009,28,34.794094,134.899472,1.5862
1010,28,34.818202,134.837435,2.5792
1011,28,34.829934,134.849644,1.5
1013,28,34.728898,134.905484,1.428
1014,28,34.745050,134.924777,1.1638
1015,28,34.770335,134.955831,1
1016,28,34.768662,134.958021,1.5411
1017,28,34.771214,134.955093,1.0092
1018,28,34.746073,134.913802,1.5062
1019,28,34.745620,134.920101,1.7115
1020,28,34.741880,134.927371,2.4024
1022,28,34.784523,135.382675,1.16
1023,28,34.801231,134.541089,1.2077
1024,28,34.842193,134.502305,0.912
1026,28,34.858658,134.471330,1.2001
1027,28,34.859766,134.468352,2.1392
1028,28,34.873813,134.579140,3.499
1029,28,34.882581,134.551094,0.9984
1030,28,34.933321,134.526691,1.0687
1031,28,34.906035,134.536245,1.2036
1032,28,34.920809,134.451898,2.56
1033,28,34.948230,134.435662,0.7272
1034,28,34.790733,134.546832,2.747
1035,28,34.783063,134.520435,1.0857
1036,28,34.781281,134.522578,1.19
1038,07,37.203814,140.353509,1.0914
1040,07,37.616005,140.176828,1.2452
1042,07,37.506599,140.118935,1.9981
1047,07,37.518514,140.425208,1.512
1048,07,37.528460,140.448333,1.6634
1049,07,37.477746,140.390068,1.00156
1050,07,37.481238,140.378764,1.675
1058,07,37.714157,140.396962,2.4
1059,07,37.712691,140.394929,2.4123
1060,07,37.691454,140.452564,2.6989
1061,07,37.794358,140.521036,14.6827
1070,07,37.087484,140.294258,33.4233
1071,07,37.093517,140.262229,2.169
1072,07,37.049287,140.302144,1.187
1073,07,37.095306,140.177032,1.18
1074,07,37.094024,140.188130,0.714
1076,07,37.136106,140.229364,8.2591
1077,07,37.154571,140.241022,30.8985
1078,07,37.546900,140.472707,1.4023
1079,07,37.644568,140.349291,1.5705
1080,07,37.643755,140.342806,0.971
1081,07,37.572394,140.451729,5.4007
1082,07,37.589013,140.531051,0.846
1083,07,37.554705,140.408820,1.811
1084,07,37.528028,140.537966,29.5089
1085,02,40.646476,141.207524,18.3374
1086,07,37.535354,140.469133,6.5
1089,07,37.524495,140.529996,1.2508
1090,07,37.572754,140.440777,0.918
1092,07,37.603350,141.023801,2.508
1093,07,37.577401,140.975002,2.7478
1094,07,37.576456,140.932907,8.6562
1095,07,37.538954,140.947504,6.6336
1096,07,37.546797,140.961250,4.8417
1098,07,37.726216,140.884767,1.8014
1099,07,37.691322,141.002516,59.8037
1100,07,37.676319,140.984756,1.84485
1101,07,37.613355,140.909396,1.8768
1103,07,37.673974,140.933965,0.825
1104,07,37.672982,140.935148,1.1648
1120,07,36.850770,140.470954,1.32736
1123,07,37.072834,140.376186,2.0347
1125,07,37.369613,140.610080,1.5
1128,07,37.226597,140.625195,2.5714
1140,07,37.436381,139.848902,2.05632
1141,07,37.749472,140.963827,0.995
1144,07,37.822692,140.905694,2.3274
1145,07,37.817551,140.907909,1.9245
1146,07,37.828997,140.936066,1.998
1148,07,37.833315,140.944243,0.9953
1149,07,37.835932,140.943489,2.5972
1150,07,37.771189,140.982934,52.4519
1151,07,37.827776,140.955601,3.0701
1152,07,37.669336,140.672861,11.805
1153,07,37.687462,140.723211,23.3709
1154,07,37.901575,140.894335,1.8295
1157,07,37.337238,140.965790,2.1909
1158,07,37.366929,140.983331,32.2299
1159,07,37.366287,140.958777,25.0549
1160,07,37.360224,140.977489,29.938
1163,07,37.299298,141.021621,13.7926
1165,07,37.289336,141.020209,2.8822
1166,07,37.289128,140.994897,0.8321
1167,07,37.390214,140.963231,2.003
1169,07,37.390309,140.970786,11.6676
1170,07,37.344208,140.780909,2.616
1171,07,37.342892,140.717400,5.0307
1172,07,37.213027,140.965394,2.4696
1174,07,37.212071,140.965943,0.72
1175,07,37.188806,140.963338,2.29632
1176,07,37.240714,140.992340,3.026
1178,07,37.057296,140.408160,16.896
1180,07,37.160284,140.358185,12.1833
1181,07,37.196458,140.350969,1.539
1182,07,37.212614,140.352310,0.981
1183,07,37.178452,140.380512,2.196
1184,07,37.203438,140.298995,8.284
1185,07,37.182257,140.245624,10.5774
1186,07,37.172499,140.281200,1.2384
1187,07,37.138963,140.330805,1.9939
1188,07,37.137538,140.169860,1.99
1191,07,37.139824,140.176320,2
1192,07,37.203704,140.132752,21.2584
1193,07,37.131962,140.114508,1.3752
1194,07,37.292619,140.272785,1.774
1195,07,37.255621,140.461775,1.5868
1196,07,37.301107,140.205079,6.5016
1197,07,37.234370,140.483179,28.4639
1199,07,37.252350,140.385108,8.0314
1200,40,33.581984,130.113351,1.3606
1207,07,37.448352,140.300512,2.2451
1208,07,37.447909,140.318780,2.8091
1210,07,37.342748,140.361268,0.864
1211,07,37.341570,140.350196,1.128
1213,07,37.455637,140.260741,1.4742
1227,07,37.222883,140.298578,1.4994
1228,07,37.218439,140.060053,2.3449
1232,07,37.346717,139.921527,1.1566
1233,07,37.346810,139.919548,1.1566
1248,07,37.568259,139.786913,2.6935
1250,07,37.859967,140.587125,1.3608
1251,07,37.824823,140.491233,1.59
1252,07,37.613232,140.658532,2.17
1253,07,37.864717,140.576579,1.9332
1254,07,37.904010,140.590739,13.0003
1255,07,37.541552,140.395442,1.657
1256,07,37.577963,140.354813,1.316
1259,07,37.089088,140.905287,1.8144
1260,07,37.057939,140.963450,0.9705
1261,07,36.924673,140.771387,1.984
1263,07,36.975072,140.838567,2.1252
1264,07,36.994920,140.780833,2.4537
1267,07,36.928969,140.866351,1.104
1268,07,36.932485,140.854899,6.1752
1269,07,36.928007,140.864218,1.804
1270,07,36.928910,140.863192,0.9878
1271,07,36.919036,140.843116,6.6755
1276,07,37.045170,140.767303,4.578
1277,07,36.993790,140.812287,1.75
